Zip,City,State,Latitude,Longitude,relevantFacilities
68157,Omaha,NE,41.182198,-95.99058000000001,[]
68963,Norman,NE,40.478879,-98.792699,[233517]
69171,Willow Island,NE,40.892469,-100.070257,[233517]
63561,Queen City,MO,40.410297,-92.55728,"[233522, 233413, 233597]"
65282,Santa Fe,MO,39.369471000000004,-91.81864,[233597]
84093,Sandy,UT,40.594947999999995,-111.83448,"[232227, 232103, 233815, 232231, 232232, 232228, 233869, 232397, 232229, 232233, 233730, 232230, 231939, 233755, 232013, 232013, 232024, 231930, 232071, 231946, 232109]"
62273,Pierron,IL,38.780229,-89.5973,"[233613, 233496, 233504, 233483, 233611]"
78932,Carmine,TX,30.141287,-96.6909,"[232626, 232570, 232745, 232546, 232752, 232728, 232748]"
35902,Gadsden,AL,33.984062,-85.803434,[232606]
36023,East Tallassee,AL,32.800155,-85.803427,"[232606, 232529, 232593, 232679, 232683, 232741, 232513]"
49406,Douglas,MI,42.643315,-86.20404,[]
48146,Lincoln Park,MI,42.243488,-83.18097,[]
20143,Catharpin,VA,38.858613,-77.56390999999999,"[233379, 232474, 251763, 232459, 247762, 252968, 251263, 233176]"
21911,Rising Sun,MD,39.694974,-76.05395,[232474]
21912,Warwick,MD,39.44474,-75.80203,[]
22904,Charlottesville,VA,38.040101,-78.485066,"[232433, 232459, 232162, 233176, 234132, 233990]"
4976,Skowhegan,ME,44.782568,-69.69211999999999,[]
6650,Bridgeport,CT,41.308873,-73.363661,"[234715, 233309]"
14840,Hammondsport,NY,42.453547,-77.18019,"[234476, 233523]"
78053,McCoy,TX,28.906103,-98.2802,[234181]
78126,San Antonio,TX,29.55302,-98.486871,[234181]
79016,Canyon,TX,34.96539,-101.895894,[]
79256,Roaring Springs,TX,33.915528,-100.81730999999999,[]
59719,Bozeman,MT,45.627982,-110.90128,"[234334, 234307, 233131, 234361, 234565, 234409]"
61058,Nelson,IL,41.797256,-89.599529,"[233498, 233427, 233651]"
61231,Aledo,IL,41.202461,-90.73137,"[233651, 233498, 233642, 233671, 233459, 233624]"
61741,Forrest,IL,40.756972,-88.40479,[]
63879,Wardell,MO,36.349977,-89.80605,"[232691, 233690, 234490]"
64482,Rock Port,MO,40.437038,-95.53296999999999,[]
68827,Chapman,NE,41.031618,-98.17004,[]
70352,Donner,LA,29.696385,-90.944418,[]
66021,Edgerton,KS,38.762545,-95.00622,"[250850, 233418, 233695, 233552, 233602, 233631, 233657, 233700]"
68026,Fremont,NE,41.567907,-96.61744300000001,[]
87538,Ilfeld,NM,35.456288,-104.679611,"[273758, 234700]"
74941,Keota,OK,35.26773,-94.87609,"[234586, 233647, 233457, 233590, 232601, 232710, 233279, 233424]"
72427,Egypt,AR,35.867472,-90.94537,[]
80498,Silverthorne,CO,39.722417,-106.13743999999998,"[233979, 231854, 231856, 231875, 232463, 234551, 231880, 232017, 233927, 232368, 233185, 234596, 234211, 232159, 233808, 232154, 234686, 231862]"
83220,Bern,ID,42.339083,-111.37641,"[232102, 232024, 234522, 234700, 234252, 232055, 233856, 231946, 232108, 234582, 233857]"
16678,Saxton,PA,40.221352,-78.22785,"[233626, 251763, 251263, 247762, 233604]"
31742,Dawson,GA,31.756995,-84.43356999999999,"[232741, 232595, 232529]"
32435,Defuniak Springs,FL,30.603777,-86.12111,"[234704, 232595]"
32824,Orlando,FL,28.410871999999998,-81.35898,"[233920, 234513, 234597, 234031, 234032, 234033]"
24171,Stuart,VA,36.655575,-80.23909,"[234688, 233616, 234575, 233687, 233421, 251909, 234259]"
25843,Ghent,WV,37.618115,-81.10724,"[251741, 232180, 234256, 234575, 233308, 232009, 233422, 251909, 234259]"
22716,Castleton,VA,38.627134999999996,-78.11341,"[233379, 232433, 232459, 247762, 252968, 251263, 232162, 233176]"
19107,Philadelphia,PA,39.952112,-75.15853,[]
19147,Philadelphia,PA,39.936562,-75.15409,[]
19430,Creamery,PA,40.185071,-75.419966,[251575]
8511,Cookstown,NJ,40.050128,-74.55611,"[234715, 233309]"
29431,Bonneau,SC,33.284887,-79.91504,"[234128, 251874]"
12836,Hague,NY,43.750772999999995,-73.51881,[]
28359,Lumberton,NC,34.607669,-79.014425,[233910]
52337,Stanwood,IA,41.888096000000004,-91.14794,"[233498, 233642, 233671, 233427, 233459, 233624, 233503]"
52752,Grandview,IA,41.277239,-91.18897,"[233498, 233642, 233671, 233427, 233459, 233624]"
53033,Hubertus,WI,43.233282,-88.2396,[]
54844,Herbster,WI,46.765166,-91.21311999999999,"[233764, 233767, 251865, 233147]"
56082,Saint Peter,MN,44.337276,-93.99282,[]
37224,Nashville,TN,36.186605,-86.785248,"[232515, 232545, 232572, 232630, 232539, 233420, 232702, 232627, 233650, 232677]"
37304,Bakewell,TN,35.345216,-85.138046,"[234590, 232572, 232215, 232630, 232575, 232575, 232589, 232684, 251723, 253502]"
37353,McDonald,TN,35.114036,-84.98535,"[234590, 232215, 232630, 232639, 232575, 234469, 232575, 232589, 232684, 232519, 251723, 253502]"
37860,Russellville,TN,36.248645,-83.19321,"[234182, 231995, 232625, 232259, 232478, 273780, 232486, 122390, 251947, 232380, 234424, 232479, 231993, 234583, 232487, 233975, 267551, 233284, 232488]"
16854,Millheim,PA,40.891594,-77.47605,[233626]
8327,Leesburg,NJ,39.254836,-74.97766999999999,[232507]
13428,Palatine Bridge,NY,42.923583,-74.55536,[]
14047,Derby,NY,42.694598,-78.98151,"[234681, 232088]"
24853,Kimball,WV,37.427781,-81.48654,"[251947, 251741, 233493, 234256, 234575, 233308, 251757, 232180, 233422, 234259]"
