facilityid,attriblist
2895.0,"['Placed on Map_0', 'Equipment Mandatory_0', 'Min Num of Vehicles_0']"
1064.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Hike In Distance to Site_small', 'Site Access_Hike-In', 'Condition Rating_Good', 'Site Rating_Preferred', 'Min Num of Vehicles_0']"
458.0,"['Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Min Num of Vehicles_0']"
187.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Capacity/Size Rating_Single', 'Site Size_small', 'Min Num of Vehicles_0']"
2662.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Proximity to Water_Riverfront', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Min Num of People_single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Tent Pad_Y', 'Min Num of Vehicles_0']"
1042.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Hike In Distance to Site_large', 'Site Access_Hike-In', 'Condition Rating_Poor', 'Min Num of Vehicles_0']"
1112.0,"['Checkin Time_early', 'Checkout Time_early', 'Placed on Map_1.0', 'Equipment Mandatory_0', 'Food Locker_Y', 'Generator Free_Y', 'Min Num of Vehicles_0']"
1045.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Hike In Distance to Site_small', 'Site Access_Hike-In', 'Condition Rating_Poor', 'Min Num of Vehicles_0']"
2573.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Parallel', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Proximity to Water_Oceanfront', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_0']"
450.0,"['Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Min Num of Vehicles_0']"
526.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_small', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Hike In Distance to Site_small', 'Site Access_Hike-In', 'Water Hookup_No', 'Min Num of Vehicles_0']"
444.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Pull-Through', 'Driveway Grade_Slight', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Proximity to Water_Riverfront', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Electricity Hookup_30 amp', 'Water Hookup_No', 'Min Num of Vehicles_0']"
